x		 f(x)
0.3644 	 1.3451
0.3660 	 1.3464
0.3676 	 1.3477
0.3691 	 1.3490
0.3707 	 1.3503
0.3723 	 1.3516
0.3738 	 1.3529
0.3754 	 1.3542
0.3770 	 1.3555
0.3786 	 1.3568
0.3801 	 1.3581
0.3817 	 1.3594
0.3833 	 1.3606
0.3848 	 1.3619
0.3864 	 1.3632
0.3880 	 1.3645
0.3896 	 1.3657
0.3911 	 1.3670
0.3927 	 1.3682
0.3943 	 1.3695
0.3958 	 1.3708
0.3974 	 1.3720
0.3990 	 1.3733
0.4006 	 1.3745
0.4021 	 1.3757
0.4037 	 1.3770
0.4053 	 1.3782
0.4068 	 1.3795
0.4084 	 1.3807
0.4100 	 1.3819
0.4115 	 1.3831
0.4131 	 1.3844
0.4147 	 1.3856
0.4163 	 1.3868
0.4178 	 1.3880
0.4194 	 1.3892
0.4210 	 1.3904
0.4225 	 1.3916
0.4241 	 1.3928
0.4257 	 1.3940
0.4273 	 1.3952
0.4288 	 1.3964
0.4304 	 1.3976
0.4320 	 1.3988
0.4335 	 1.4000
0.4351 	 1.4012
0.4367 	 1.4023
0.4383 	 1.4035
0.4398 	 1.4047
0.4414 	 1.4058
0.4430 	 1.4070
0.4445 	 1.4082
0.4461 	 1.4093
0.4477 	 1.4105
0.4492 	 1.4116
0.4508 	 1.4128
0.4524 	 1.4139
0.4540 	 1.4151
0.4555 	 1.4162
0.4571 	 1.4173
0.4587 	 1.4185
0.4602 	 1.4196
0.4618 	 1.4207
0.4634 	 1.4218
0.4650 	 1.4229
0.4665 	 1.4241
0.4681 	 1.4252
0.4697 	 1.4263
0.4712 	 1.4274
0.4728 	 1.4285
0.4744 	 1.4296
0.4760 	 1.4307
0.4775 	 1.4317
0.4791 	 1.4328
0.4807 	 1.4339
0.4822 	 1.4350
0.4838 	 1.4361
0.4854 	 1.4371
0.4869 	 1.4382
0.4885 	 1.4392
0.4901 	 1.4403
0.4917 	 1.4414
0.4932 	 1.4424
0.4948 	 1.4435
0.4964 	 1.4445
0.4979 	 1.4455
0.4995 	 1.4466
0.5011 	 1.4476
0.5027 	 1.4486
0.5042 	 1.4496
0.5058 	 1.4507
0.5074 	 1.4517
0.5089 	 1.4527
0.5105 	 1.4537
0.5121 	 1.4547
0.5137 	 1.4557
0.5152 	 1.4567
0.5168 	 1.4577
0.5184 	 1.4587
0.5199 	 1.4597
0.5215 	 1.4606
0.5231 	 1.4616
0.5246 	 1.4626
0.5262 	 1.4635
0.5278 	 1.4645
0.5294 	 1.4655
0.5309 	 1.4664
0.5325 	 1.4674
0.5341 	 1.4683
0.5356 	 1.4692
0.5372 	 1.4702
0.5388 	 1.4711
0.5404 	 1.4720
0.5419 	 1.4730
0.5435 	 1.4739
0.5451 	 1.4748
0.5466 	 1.4757
0.5482 	 1.4766
0.5498 	 1.4775
0.5513 	 1.4784
0.5529 	 1.4793
0.5545 	 1.4802
0.5561 	 1.4811
0.5576 	 1.4820
0.5592 	 1.4828
0.5608 	 1.4837
0.5623 	 1.4846
0.5639 	 1.4854
0.5655 	 1.4863
0.5671 	 1.4871
0.5686 	 1.4880
0.5702 	 1.4888
0.5718 	 1.4896
0.5733 	 1.4905
0.5749 	 1.4913
0.5765 	 1.4921
0.5781 	 1.4929
0.5796 	 1.4938
0.5812 	 1.4946
0.5828 	 1.4954
0.5843 	 1.4962
0.5859 	 1.4970
0.5875 	 1.4978
0.5890 	 1.4985
0.5906 	 1.4993
0.5922 	 1.5001
0.5938 	 1.5009
0.5953 	 1.5016
0.5969 	 1.5024
0.5985 	 1.5031
0.6000 	 1.5039
0.6016 	 1.5046
0.6032 	 1.5054
0.6048 	 1.5061
0.6063 	 1.5068
0.6079 	 1.5075
0.6095 	 1.5083
0.6110 	 1.5090
0.6126 	 1.5097
0.6142 	 1.5104
0.6158 	 1.5111
0.6173 	 1.5118
0.6189 	 1.5125
0.6205 	 1.5131
0.6220 	 1.5138
0.6236 	 1.5145
0.6252 	 1.5152
0.6267 	 1.5158
0.6283 	 1.5165
0.6299 	 1.5171
0.6315 	 1.5178
0.6330 	 1.5184
0.6346 	 1.5190
0.6362 	 1.5197
0.6377 	 1.5203
0.6393 	 1.5209
0.6409 	 1.5215
0.6425 	 1.5221
0.6440 	 1.5227
0.6456 	 1.5233
0.6472 	 1.5239
0.6487 	 1.5245
0.6503 	 1.5250
0.6519 	 1.5256
0.6535 	 1.5262
0.6550 	 1.5267
0.6566 	 1.5273
0.6582 	 1.5278
0.6597 	 1.5284
0.6613 	 1.5289
0.6629 	 1.5294
0.6644 	 1.5300
0.6660 	 1.5305
0.6676 	 1.5310
0.6692 	 1.5315
0.6707 	 1.5320
0.6723 	 1.5325
0.6739 	 1.5330
